1024cms.org 1024 CMS 0.7,cpe:/a:1024cms:1024_cms:0.7
7-Zip p7zip 4.37,cpe:/a:7-zip:p7zip:4.37
7-Zip p7zip 4.39,cpe:/a:7-zip:p7zip:4.39
7-Zip p7zip 4.42,cpe:/a:7-zip:p7zip:4.42
7-Zip p7zip 4.43,cpe:/a:7-zip:p7zip:4.43
7-Zip p7zip 4.44,cpe:/a:7-zip:p7zip:4.44
7-Zip p7zip 4.45,cpe:/a:7-zip:p7zip:4.45
7-Zip p7zip 4.47,cpe:/a:7-zip:p7zip:4.47
7-Zip p7zip 4.48,cpe:/a:7-zip:p7zip:4.48
7-Zip p7zip 4.49,cpe:/a:7-zip:p7zip:4.49
7-Zip p7zip 4.51,cpe:/a:7-zip:p7zip:4.51
7-Zip p7zip 4.53,cpe:/a:7-zip:p7zip:4.53
7-Zip p7zip 4.55,cpe:/a:7-zip:p7zip:4.55
7-Zip p7zip 4.57,cpe:/a:7-zip:p7zip:4.57
7-Zip p7zip 4.58,cpe:/a:7-zip:p7zip:4.58
7-Zip p7zip 4.61,cpe:/a:7-zip:p7zip:4.61
7-Zip p7zip 4.65,cpe:/a:7-zip:p7zip:4.65
7-Zip p7zip 9.04,cpe:/a:7-zip:p7zip:9.04
7-Technologies (7T) AQUIS 1.5,cpe:/a:7t:aquis:1.5
7-Technologies (7T) TERMIS 2.0,cpe:/a:7t:termis:2.0
7-Technologies (7T) TERMIS 2.10,cpe:/a:7t:termis:2.10
Queue Megalith 12,cpe:/a:9.dotpp.net:megalith:12
Queue Megalith 27,cpe:/a:9.dotpp.net:megalith:27
Queue Megalith 50,cpe:/a:9.dotpp.net:megalith:50
Queue Megalith 51,cpe:/a:9.dotpp.net:megalith:51
Queue Megalith 52,cpe:/a:9.dotpp.net:megalith:52
90meter CAC Smartcard Manager-90 1.1.1.6,cpe:/a:90meter:cac_smartcard_manager-90:1.1.1.6
90meter CAC Smartcard Manager-90 1.1.8,cpe:/a:90meter:cac_smartcard_manager-90:1.1.8
90meter CAC Smartcard Manager-90 1.2.04,cpe:/a:90meter:cac_smartcard_manager-90:1.2.04
90meter CAC Smartcard Manager-90 1.2.14,cpe:/a:90meter:cac_smartcard_manager-90:1.2.14
90meter Card Issuance Workstation 1.00.130,cpe:/a:90meter:card_issuance_workstation:1.00.130
A-PDF Restrictions Remover 1.6,cpe:/a:a-pdf:restrictions_remover:1.6
A9tech A9cad 2.2.0,cpe:/a:a9tech:a9cad:2.2.0
Abbyy Finereader 10.0 Corporate Edition,cpe:/a:abbyy:finereader:10.0:-:corporate
Abbyy Finereader 10.0 Professional Edition,cpe:/a:abbyy:finereader:10.0:-:pro
Abbyy Finereader 10.0 Site License Edition,cpe:/a:abbyy:finereader:10.0:-:site_license
Abbyy Finereader 4.1,cpe:/a:abbyy:finereader:4.1
Abbyy Finereader 5.0 Office Edition,cpe:/a:abbyy:finereader:5.0:-:office
Abbyy Finereader 5.0 Professional Edition,cpe:/a:abbyy:finereader:5.0:-:pro
Abbyy Finereader 6.0,cpe:/a:abbyy:finereader:6.0
Abbyy Finereader 6.0 Corporate Edition,cpe:/a:abbyy:finereader:6.0:-:corporate
Abbyy Finereader 6.0 Professional Edition,cpe:/a:abbyy:finereader:6.0:-:pro
Abbyy Finereader 7.0 Corporate Edition,cpe:/a:abbyy:finereader:7.0:-:corporate
Abbyy Finereader 7.0 Professional Edition,cpe:/a:abbyy:finereader:7.0:-:pro
Abbyy Finereader 8.0 Corporate Edition,cpe:/a:abbyy:finereader:8.0:-:corporate
Abbyy Finereader 8.0 Professional Edition,cpe:/a:abbyy:finereader:8.0:-:pro
Abbyy Finereader 9.0 Corporate Edition,cpe:/a:abbyy:finereader:9.0:-:corporate
Abbyy Finereader 9.0 Professional Edition,cpe:/a:abbyy:finereader:9.0:-:pro
Abbyy Finereader Sprint 5.0.0.22227,cpe:/a:abbyy:finereader_sprint:5.0.0.22227
Abbyy Finereader Sprint 6.0,cpe:/a:abbyy:finereader_sprint:6.0
Abbyy Finereader Sprint 6.0.1395.4512,cpe:/a:abbyy:finereader_sprint:6.0.1395.4512
Abbyy Finereader Sprint 6.0.1735.41615,cpe:/a:abbyy:finereader_sprint:6.0.1735.41615
Abbyy Finereader Sprint 6.0.1990.41618,cpe:/a:abbyy:finereader_sprint:6.0.1990.41618
Abbyy Finereader Sprint 9.0,cpe:/a:abbyy:finereader_sprint:9.0
Abbyy Finereader Sprint Plus 6.0,cpe:/a:abbyy:finereader_sprint_plus:6.0
Absolute Software Corporation Computrace 8.0.885,cpe:/a:absolute:computrace:8.0.885
Absolute Futurity AF ImageGrabber 1.0.3,cpe:/a:absolutefuturity:af_imagegrabber:1.0.3
abushhab Alwasel 1.5,cpe:/a:abushhab:alwasel:1.5
Accusoft Imagxpress 7.0.74.0,cpe:/a:accusoft:imagxpress:7.0.74.0
Acdsystems Acdsee Standard 5.0.0,cpe:/a:acdsystems:acdsee:5.0.0::%7E%7Estandard%7E%7E%7E
Acidcat CMS 3.5.1,cpe:/a:acidcat:acidcat_cms:3.5.1
Acidcat CMS 3.5.2,cpe:/a:acidcat:acidcat_cms:3.5.2
Acidcat CMS 3.5.6,cpe:/a:acidcat:acidcat_cms:3.5.6
Acl 9.1.0.213,cpe:/a:acl:acl:9.1.0.213
Acm.org Er Assistant 2.0,cpe:/a:acm.org:er_assistant:2.0
ACME thttpd 1.95,cpe:/a:acme:thttpd:1.95
ACME thttpd 2.00,cpe:/a:acme:thttpd:2.00
ACME thttpd 2.01,cpe:/a:acme:thttpd:2.01
ACME thttpd 2.02,cpe:/a:acme:thttpd:2.02
ACME thttpd 2.03,cpe:/a:acme:thttpd:2.03
ACME thttpd 2.04,cpe:/a:acme:thttpd:2.04
ACME thttpd 2.05,cpe:/a:acme:thttpd:2.05
ACME thttpd 2.06,cpe:/a:acme:thttpd:2.06
ACME thttpd 2.07,cpe:/a:acme:thttpd:2.07
ACME thttpd 2.08,cpe:/a:acme:thttpd:2.08
ACME thttpd 2.09,cpe:/a:acme:thttpd:2.09
ACME thttpd 2.10,cpe:/a:acme:thttpd:2.10
ACME thttpd 2.11,cpe:/a:acme:thttpd:2.11
ACME thttpd 2.12,cpe:/a:acme:thttpd:2.12
ACME thttpd 2.13,cpe:/a:acme:thttpd:2.13
ACME thttpd 2.14,cpe:/a:acme:thttpd:2.14
ACME thttpd 2.15,cpe:/a:acme:thttpd:2.15
ACME thttpd 2.16,cpe:/a:acme:thttpd:2.16
ACME thttpd 2.17,cpe:/a:acme:thttpd:2.17
ACME thttpd 2.18,cpe:/a:acme:thttpd:2.18
ACME thttpd 2.19,cpe:/a:acme:thttpd:2.19
ACME thttpd 2.20,cpe:/a:acme:thttpd:2.20
ACME thttpd 2.20b,cpe:/a:acme:thttpd:2.20:b
ACME thttpd 2.20c,cpe:/a:acme:thttpd:2.20:c
ACME thttpd 2.21,cpe:/a:acme:thttpd:2.21
ACME thttpd 2.21b,cpe:/a:acme:thttpd:2.21:b
ACME thttpd 2.22,cpe:/a:acme:thttpd:2.22
ACME thttpd 2.23,cpe:/a:acme:thttpd:2.23
ACME thttpd 2.24,cpe:/a:acme:thttpd:2.24
ACME thttpd 2.25,cpe:/a:acme:thttpd:2.25
ACME thttpd 2.25b,cpe:/a:acme:thttpd:2.25:b
Acronis Backup &amp; Recovery Agent 10.0.11639,cpe:/a:acronis:backup_%26_recovery_agent:10.0.11639
Acronis Backup &amp; Recovery Agent 10.0.12703,cpe:/a:acronis:backup_%26_recovery_agent:10.0.12703
Acronis Backup &amp; Recovery Agent 10.0.13545,cpe:/a:acronis:backup_%26_recovery_agent:10.0.13545
Acronis Backup &amp; Recovery Agent 10.0.13762,cpe:/a:acronis:backup_%26_recovery_agent:10.0.13762
Acronis Backup &amp; Recovery Agent 11.0.17217,cpe:/a:acronis:backup_%26_recovery_agent:11.0.17217
Acronis Backup &amp; Recovery Agent 11.0.17318,cpe:/a:acronis:backup_%26_recovery_agent:11.0.17318
Acronis Backup &amp; Recovery Agent Core 11.0.17217,cpe:/a:acronis:backup_%26_recovery_agent_core:11.0.17217
Acronis Backup &amp; Recovery Agent Core 11.0.17318,cpe:/a:acronis:backup_%26_recovery_agent_core:11.0.17318
Acronis Backup &amp; Recovery Bootable Media Builder 10.0.11639,cpe:/a:acronis:backup_%26_recovery_bootable_media_builder:10.0.11639
Acronis Backup &amp; Recovery Bootable Media Builder 10.0.13762,cpe:/a:acronis:backup_%26_recovery_bootable_media_builder:10.0.13762
Acronis Backup &amp; Recovery Bootable Media Builder 11.0.17217,cpe:/a:acronis:backup_%26_recovery_bootable_media_builder:11.0.17217
Acronis Backup &amp; Recovery Management Console 10.0.11639,cpe:/a:acronis:backup_%26_recovery_management_console:10.0.11639
Acronis Backup &amp; Recovery Management Console 10.0.13545,cpe:/a:acronis:backup_%26_recovery_management_console:10.0.13545
Acronis Backup &amp; Recovery Management Console 10.0.13762,cpe:/a:acronis:backup_%26_recovery_management_console:10.0.13762
Acronis Backup &amp; Recovery Management Console 11.0.17318,cpe:/a:acronis:backup_%26_recovery_management_console:11.0.17318
Acronis Backup &amp; Recovery Management Server 11.0.17318,cpe:/a:acronis:backup_%26_recovery_management_server:11.0.17318
Acronis Backup &amp; Recovery Tray Monitor 10.0.11639,cpe:/a:acronis:backup_%26_recovery_tray_monitor:10.0.11639
Acronis Backup &amp; Recovery Tray Monitor 11.0.17318,cpe:/a:acronis:backup_%26_recovery_tray_monitor:11.0.17318
Acronis Backup &amp; Recovery Universal Restore 10.0.13545,cpe:/a:acronis:backup_%26_recovery_universal_restore:10.0.13545
Acronis Backup &amp; Recovery Universal Restore 10.0.13762,cpe:/a:acronis:backup_%26_recovery_universal_restore:10.0.13762
Acronis Backup &amp; Recovery Universal Restore 11.0.17217,cpe:/a:acronis:backup_%26_recovery_universal_restore:11.0.17217
Acronis Backup &amp; Recovery Universal Restore 11.0.17318,cpe:/a:acronis:backup_%26_recovery_universal_restore:11.0.17318
Acronis Backup &amp; Recovery Upgrade Tool 10.0.11639,cpe:/a:acronis:backup_%26_recovery_upgrade_tool:10.0.11639
Acronis Components For Remote Installation 11.0.17318,cpe:/a:acronis:components_for_remote_installation:11.0.17318
Acronis Disk Director Server 10.0.2064,cpe:/a:acronis:disk_director_server:10.0.2064
Acronis License Server 10.0.13762,cpe:/a:acronis:license_server:10.0.13762
Acronis License Server 11.0.17318,cpe:/a:acronis:license_server:11.0.17318
Acronis License Server 3.0.3470,cpe:/a:acronis:license_server:3.0.3470
Acronis Snapapi 3.1.329,cpe:/a:acronis:snapapi:3.1.329
Acronis Snapdeploy Management Agent 3.0.3470,cpe:/a:acronis:snapdeploy_management_agent:3.0.3470
Acronis True Image Agent 9.1.3854,cpe:/a:acronis:true_image_agent:9.1.3854
Acronis True Image Agent 9.7.8206,cpe:/a:acronis:true_image_agent:9.7.8206
Acronis True Image Echo Enterprise Server 9.5.8018,cpe:/a:acronis:true_image_echo_enterprise_server:9.5.8018
Acronis True Image Echo Enterprise Server 9.7.8206,cpe:/a:acronis:true_image_echo_enterprise_server:9.7.8206
Acronis True Image Echo Enterprise Server 9.7.8398,cpe:/a:acronis:true_image_echo_enterprise_server:9.7.8398
Acronis True Image Echo Server 9.7.8398,cpe:/a:acronis:true_image_echo_server:9.7.8398
Acronis True Image Echo Workstation 9.7.8206,cpe:/a:acronis:true_image_echo_workstation:9.7.8206
Acronis True Image Management Console 9.7.8206,cpe:/a:acronis:true_image_management_console:9.7.8206
Acronis True Image Server 9.1.3534,cpe:/a:acronis:true_image_server:9.1.3534
Acronis Universal Restore For True Image Echo Server 9.7.8206,cpe:/a:acronis:universal_restore_for_true_image_echo_server:9.7.8206
Acrosoftware Cutepdf Professional 3.4.1.3,cpe:/a:acrosoftware:cutepdf:3.4.1.3::%7E%7Eprofessional%7E%7E%7E
Acrosoftware Cutepdf Professional 3.6.2.0,cpe:/a:acrosoftware:cutepdf:3.6.2.0::%7E%7Eprofessional%7E%7E%7E
Acro Software, Inc. CutePDF Professional 3.6.4.0,cpe:/a:acrosoftware:cutepdf:3.6.4.0::%7E%7Eprofessional%7E%7E%7E
Acrosoftware Cutepdf Writer 2.7,cpe:/a:acrosoftware:cutepdf_writer:2.7
Acrosoftware Cutepdf Writer 2.8,cpe:/a:acrosoftware:cutepdf_writer:2.8
Acs Putty Connection Manager 0.7.1.136beta,cpe:/a:acs:putty_connection_manager:0.7.1.136beta
ACT COMPASS,cpe:/a:act:compass
ACT COMPASS 3.2.1,cpe:/a:act:compass:3.2.1
ActivCard ActivCard Gold CAC,cpe:/a:activcard:activcard_gold_for_cac
ActivCard ActivCard Gold CAC 2.24,cpe:/a:activcard:activcard_gold_for_cac:2.24
ActivCard ActivCard Gold CAC 3.0,cpe:/a:activcard:activcard_gold_for_cac:3.0
Activedev Active CMS 1.2,cpe:/a:activedev:active_cms:1.2
ActiveState ActivePerl,cpe:/a:activestate:activeperl
ActiveState ActivePerl 5.10.1002,cpe:/a:activestate:activeperl:5.10.1002
ActiveState ActivePerl 5.10.1004,cpe:/a:activestate:activeperl:5.10.1004
ActiveState ActivePerl 5.10.1005,cpe:/a:activestate:activeperl:5.10.1005
ActiveState ActivePerl 5.10.1006,cpe:/a:activestate:activeperl:5.10.1006
ActiveState ActivePerl 5.10.1007,cpe:/a:activestate:activeperl:5.10.1007
ActiveState ActivePerl 5.10.1008 (x64) 64-bit,cpe:/a:activestate:activeperl:5.10.1008::%7E%7E%7E%7Ex64%7E
ActiveState ActivePerl 5.12.1201 (x64) 64-bit,cpe:/a:activestate:activeperl:5.12.1201::%7E%7E%7E%7Ex64%7E
ActiveState ActivePerl 5.12.1202,cpe:/a:activestate:activeperl:5.12.1202
ActiveState ActivePerl 5.12.1203,cpe:/a:activestate:activeperl:5.12.1203
ActiveState ActivePerl 5.12.1203 (x64) 64-bit,cpe:/a:activestate:activeperl:5.12.1203::%7E%7E%7E%7Ex64%7E
ActiveState ActivePerl 5.12.1204,cpe:/a:activestate:activeperl:5.12.1204
ActiveState ActivePerl 5.14.1402,cpe:/a:activestate:activeperl:5.14.1402
ActiveState ActivePerl 5.14.1402 (Build 1402) x64 (64-bit),cpe:/a:activestate:activeperl:5.14.1402::%7E%7E%7E%7Ex64%7E
ActiveState ActivePerl 5.6.1,cpe:/a:activestate:activeperl:5.6.1
ActiveState ActivePerl 5.6.1.629,cpe:/a:activestate:activeperl:5.6.1.629
ActiveState ActivePerl 5.6.1.630,cpe:/a:activestate:activeperl:5.6.1.630
ActiveState ActivePerl 5.6.1.635,cpe:/a:activestate:activeperl:5.6.1.635
ActiveState ActivePerl 5.6.2,cpe:/a:activestate:activeperl:5.6.2
ActiveState ActivePerl 5.6.3,cpe:/a:activestate:activeperl:5.6.3
ActiveState ActivePerl 5.6.633,cpe:/a:activestate:activeperl:5.6.633
ActiveState ActivePerl 5.6.635,cpe:/a:activestate:activeperl:5.6.635
ActiveState ActivePerl 5.6.638,cpe:/a:activestate:activeperl:5.6.638
ActiveState ActivePerl 5.7.1,cpe:/a:activestate:activeperl:5.7.1
ActiveState ActivePerl 5.7.2,cpe:/a:activestate:activeperl:5.7.2
ActiveState ActivePerl 5.7.3,cpe:/a:activestate:activeperl:5.7.3
ActiveState ActivePerl 5.8,cpe:/a:activestate:activeperl:5.8
ActiveState ActivePerl 5.8.1,cpe:/a:activestate:activeperl:5.8.1
ActiveState ActivePerl 5.8.3,cpe:/a:activestate:activeperl:5.8.3
ActiveState ActivePerl 5.8.7,cpe:/a:activestate:activeperl:5.8.7
ActiveState ActivePerl 5.8.8.815,cpe:/a:activestate:activeperl:5.8.8.815
ActiveState ActivePerl 5.8.8.817,cpe:/a:activestate:activeperl:5.8.8.817
ActiveState ActivePerl 5.8.8.820,cpe:/a:activestate:activeperl:5.8.8.820
ActiveState ActivePerl 5.8.807,cpe:/a:activestate:activeperl:5.8.807
ActiveState ActivePerl 5.8.809,cpe:/a:activestate:activeperl:5.8.809
ActiveState ActivePerl 5.8.810,cpe:/a:activestate:activeperl:5.8.810
ActiveState ActivePerl 5.8.819,cpe:/a:activestate:activeperl:5.8.819
ActiveState ActivePerl 5.8.820,cpe:/a:activestate:activeperl:5.8.820
ActiveState ActivePerl 5.8.824,cpe:/a:activestate:activeperl:5.8.824
ActiveState ActivePerl 5.8.827,cpe:/a:activestate:activeperl:5.8.827
ActiveState ActivePerl 5.8.828,cpe:/a:activestate:activeperl:5.8.828
ActiveState ActivePerl Pdk 9.0.1,cpe:/a:activestate:activeperl_pdk:9.0.1
ActiveState ActivePython,cpe:/a:activestate:activepython
ActiveState ActivePython 2.1,cpe:/a:activestate:activepython:2.1
ActiveState Activepython 2.5.2.2,cpe:/a:activestate:activepython:2.5.2.2
ActiveState Activepython 2.5.4.4,cpe:/a:activestate:activepython:2.5.4.4
ActiveState Activepython 2.6.5.12,cpe:/a:activestate:activepython:2.6.5.12
ActiveState Komodo Edit 5.2.4,cpe:/a:activestate:komodo_edit:5.2.4
ActiveState Komodo Edit 6.0.3,cpe:/a:activestate:komodo_edit:6.0.3
ActiveState Komodo Edit 6.1.0,cpe:/a:activestate:komodo_edit:6.1.0
ActiveState Komodo Edit 6.1.1,cpe:/a:activestate:komodo_edit:6.1.1
Active Templates Template 1.5,cpe:/a:activetemplates:template:1.5
ActivIdentity Activcard Gold For CAC 2.200.66.0,cpe:/a:actividentity:activcard_gold_for_cac:2.200.66.0
ActivIdentity Activcard Gold For CAC Feature Pack 3.01.1076.1,cpe:/a:actividentity:activcard_gold_for_cac_feature_pack:3.01.1076.1
ActivIdentity Activcard Gold For CAC Feature Pack 3.01.2087.2,cpe:/a:actividentity:activcard_gold_for_cac_feature_pack:3.01.2087.2
ActivIdentity Activcard Usb Reader 2.0.3,cpe:/a:actividentity:activcard_usb_reader:2.0.3
ActivIdentity ActivClient CAC,cpe:/a:actividentity:activclient_cac
ActivIdentity ActivClient CAC 6.0,cpe:/a:actividentity:activclient_cac:6.0
ActivIdentity Activclient CAC 6.01.00034,cpe:/a:actividentity:activclient_cac:6.01.00034
ActivIdentity Activclient CAC 6.01.00046,cpe:/a:actividentity:activclient_cac:6.01.00046
ActivIdentity Activclient CAC 6.01.00051,cpe:/a:actividentity:activclient_cac:6.01.00051
ActivIdentity ActivClient CAC 6.1.100,cpe:/a:actividentity:activclient_cac:6.1.100
ActivIdentity Activclient CAC 6.1.120,cpe:/a:actividentity:activclient_cac:6.1.120
ActivIdentity Activclient CAC 6.1.124,cpe:/a:actividentity:activclient_cac:6.1.124
ActivIdentity Activclient CAC 6.1.125,cpe:/a:actividentity:activclient_cac:6.1.125
ActivIdentity Activclient CAC 6.1.133,cpe:/a:actividentity:activclient_cac:6.1.133
ActivIdentity Activclient CAC 6.1.137,cpe:/a:actividentity:activclient_cac:6.1.137
ActivIdentity Activclient CAC 6.1.139,cpe:/a:actividentity:activclient_cac:6.1.139
ActivIdentity Activclient CAC 6.1.148,cpe:/a:actividentity:activclient_cac:6.1.148
ActivIdentity Activclient CAC 6.1.155,cpe:/a:actividentity:activclient_cac:6.1.155
ActivIdentity Activclient CAC 6.1.157,cpe:/a:actividentity:activclient_cac:6.1.157
ActivIdentity Activclient CAC 6.1.3.100,cpe:/a:actividentity:activclient_cac:6.1.3.100
ActivIdentity Activclient CAC 6.1.3.100 (x64) 64-bit,cpe:/a:actividentity:activclient_cac:6.1.3.100::%7E%7E%7E%7Ex64%7E
ActivIdentity Activclient CAC 6.1.3.108,cpe:/a:actividentity:activclient_cac:6.1.3.108
ActivIdentity Activclient CAC 6.1.3.113,cpe:/a:actividentity:activclient_cac:6.1.3.113
ActivIdentity Activclient CAC 6.1.3.114,cpe:/a:actividentity:activclient_cac:6.1.3.114
